title,director,year
The Match Factory Girl,Aki Kaurismäki,1990
Eclipse Series 13: Kenji Mizoguchi’s Fallen Women, , 
Osaka Elegy,Kenji Mizoguchi,1936
Sisters of the Gion,Kenji Mizoguchi,1936
Women of the Night,Kenji Mizoguchi,1948
Street of Shame,Kenji Mizoguchi,1956
Eclipse Series 14: Rossellini’s History Films—Renaissance and Enlightenment, , 
The Age of the Medici,Roberto Rossellini,1973
Cartesius,Roberto Rossellini,1974
Blaise Pascal,Roberto Rossellini,1972
Eclipse Series 15: Travels with Hiroshi Shimizu, , 
Japanese Girls at the Harbor,Hiroshi Shimizu,1933
Mr. Thank You,Hiroshi Shimizu,1936
The Masseurs and a Woman,Hiroshi Shimizu,1938
Ornamental Hairpin,Hiroshi Shimizu,1941
Eclipse Series 16: Alexander Korda’s Private Lives, , 
The Private Life of Henry VIII,Alexander Korda,1933
The Rise of Catherine the Great,Paul Czinner,1934
The Private Life of Don Juan,Alexander Korda,1934
Rembrandt,Alexander Korda,1936
Eclipse Series 17: Nikkatsu Noir, , 
I Am Waiting,Koreyoshi Kurahara,1957
Rusty Knife,Toshio Masuda,1958
Take Aim at the Police Van,Seijun Suzuki,1960
Cruel Gun Story,Takumi Furukawa,1964
A Colt Is My Passport,Takashi Nomura,1967
Eclipse Series 18: Dušan Makavejev—Free Radical, , 
Man Is Not a Bird,Dušan Makavejev,1965
"Love Affair, or the Case of the Missing Switchboard Operator",Dušan Makavejev,1967
Innocence Unprotected,Dušan Makavejev,1968
Eclipse Series 19: Chantal Akerman in the Seventies, , 
La chambre,Chantal Akerman,1972
Hotel Monterey,Chantal Akerman,1972
News from Home,Chantal Akerman,1976
Je tu il elle,Chantal Akerman,1975
Les rendez-vous d’Anna,Chantal Akerman,1978
Eclipse Series 20: George Bernard Shaw on Film, , 
Major Barbara,Gabriel Pascal,1941
Caesar and Cleopatra,Gabriel Pascal,1945
Androcles and the Lion, Chester Erskine,1952
Eclipse Series 21: Oshima’s Outlaw Sixties, , 
Pleasures of the Flesh,Nagisa Oshima,1965
Violence at Noon,Nagisa Oshima,1966
Sing a Song of Sex,Nagisa Oshima,1967
Japanese Summer: Double Suicide,Nagisa Oshima,1967
Three Resurrected Drunkards,Nagisa Oshima,1968
Eclipse Series 22: Presenting Sacha Guitry, , 
The Story of a Cheat,Sacha Guitry,1936
The Pearls of the Crown,Sacha Guitry,1937
Désiré,Sacha Guitry,1937
Quadrille,Sacha Guitry,1938
Eclipse Series 23: The First Films of Akira Kurosawa, , 
Sanshiro Sugata,Akira Kurosawa,1943
The Most Beautiful,Akira Kurosawa,1944
"Sanshiro Sugata, Part Two",Akira Kurosawa,1945
The Men Who Tread on the Tiger’s Tail,Akira Kurosawa,1945
Eclipse Series 24: The Actuality Dramas of Allan King, , 
Warrendale,Allan King,1967
A Married Couple,Allan King,1969
Come On Children,Allan King,1972
Dying at Grace,Allan King,2003
"Memory for Max, Claire, Ida and Company",Allan King,2005
Eclipse Series 25: Basil Dearden’s London Underground, , 
Sapphire,Basil Dearden,1959
The League of Gentlemen,Basil Dearden,1960
Victim,Basil Dearden,1961
All Night Long,Basil Dearden,1962
Eclipse Series 26: Silent Naruse, , 
"Flunky, Work Hard",Mikio Naruse,1931
No Blood Relation,Mikio Naruse,1932
Apart from You,Mikio Naruse,1933
Every-Night Dreams,Mikio Naruse,1933
Street Without End,Mikio Naruse,1934
Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas, , 
Chains,Raffaello Matarazzo,1949
Tormento,Raffaello Matarazzo,1950
Nobody’s Children,Raffaello Matarazzo,1952
The White Angel,Raffaello Matarazzo,1955
Eclipse Series 28: The Warped World of Koreyoshi Kurahara, , 
Intimidation,Koreyoshi Kurahara,1960
The Warped Ones,Koreyoshi Kurahara,1960
I Hate But Love,Koreyoshi Kurahara,1962
Black Sun,Koreyoshi Kurahara,1964
Thirst for Love,Koreyoshi Kurahara,1967
Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys, , 
Leningrad Cowboys Go America,Aki Kaurismäki,1989
Leningrad Cowboys Meet Moses,Aki Kaurismäki,1994
Total Balalaika Show,Aki Kaurismäki,1994
Eclipse Series 30: Sabu!, , 
Elephant Boy,Robert Flaherty…,1937
The Drum,Zoltán Korda,1938
Jungle Book,Zoltán Korda,1942
Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin, , 
Poto and Cabengo,Jean-Pierre Gorin,1980
Routine Pleasures,Jean-Pierre Gorin,1986
My Crasy Life,Jean-Pierre Gorin,1992
Eclipse Series 32: Pearls of the Czech New Wave, , 
Pearls of the Deep,Jiří Menzel…,1966
Daisies,Věra Chytilová,1966
A Report on the Party and Guests,Jan Němec,1966
Return of the Prodigal Son,Evald Schorm,1967
Capricious Summer,Jiří Menzel,1968
The Joke,Jaromil Jireš,1969
Eclipse Series 33: Up All Night with Robert Downey Sr., , 
Babo 73,Robert Downey Sr.,1964
Chafed Elbows,Robert Downey Sr.,1966
No More Excuses,Robert Downey Sr.,1968
Putney Swope,Robert Downey Sr.,1969
Two Tons of Turquoise to Taos Tonight,Robert Downey Sr.,1975
Eclipse Series 34: Jean Grémillon During the Occupation, , 
Remorques,Jean Grémillon,1941
Lumière d’été,Jean Grémillon,1943
Le ciel est à vous,Jean Grémillon,1944
Eclipse Series 35: Maidstone and Other Films by Norman Mailer, , 
Maidstone,Norman Mailer,1970
Wild 90,Norman Mailer,1968
Beyond the Law,Norman Mailer,1968
Eclipse Series 36: Three Wicked Melodramas from Gainsborough Pictures, , 
The Man in Grey,Leslie Arliss,1943
Madonna of the Seven Moons,Arthur Crabtree,1945
The Wicked Lady,Leslie Arliss,1945
Eclipse Series 37: When Horror Came to Shochiku, , 
The X from Outer Space,Kazui Nihonmatsu,1967
"Goke, Body Snatcher from Hell",Hajime Sato,1968
The Living Skeleton,Hiroshi Matsuno,1968
Genocide,Kazui Nihonmatsu,1968
Eclipse Series 38: Masaki Kobayashi Against the System, , 
The Thick-Walled Room,Masaki Kobayashi,1956
I Will Buy You,Masaki Kobayashi,1956
Black River,Masaki Kobayashi,1956
The Inheritance,Masaki Kobayashi,1962
Eclipse Series 39: Early Fassbinder, , 
Love Is Colder Than Death,Rainer Werner Fassbinder,1969
Katzelmacher,Rainer Werner Fassbinder,1969
Gods of the Plague,Rainer Werner Fassbinder,1969
The American Soldier,Rainer Werner Fassbinder,1970
Beware of a Holy Whore,Rainer Werner Fassbinder,1970
Eclipse Series 40: Late Ray, , 
The Home and the World,Satyajit Ray,1984
An Enemy of the People,Satyajit Ray,1989
The Stranger,Satyajit Ray,1991
Eclipse Series 41: Kinoshita and World War II, , 
Port of Flowers,Keisuke Kinoshita,1943
The Living Magoroku,Keisuke Kinoshita,1943
Jubilation Street,Keisuke Kinoshita,1944
Army,Keisuke Kinoshita,1944
Morning for the Osone Family,Keisuke Kinoshita,1946
Eclipse Series 42: Silent Ozu—Three Crime Dramas, , 
Walk Cheerfully,Yasujirō Ozu,1930
That Night’s Wife,Yasujirō Ozu,1930
Dragnet Girl,Yasujirō Ozu,1933
Eclipse Series 43: Agnès Varda in California, , 
Uncle Yanco,Agnès Varda,1968
Black Panthers,Agnès Varda,1970
Lions Love (. . . and Lies),Agnès Varda,1969
Mur Murs,Agnès Varda,1981
Documenteur,Agnès Varda,1981
Eclipse Series 44: Julien Duvivier in the Thirties, , 
David Golder,Julien Duvivier,1930
Poil de carotte,Julien Duvivier,1932
La tête d’un homme,Julien Duvivier,1933
Un carnet de bal,Julien Duvivier,1937
Eclipse Series 45: Claude Autant-Lara—Four Romantic Escapes from Occupied France, , 
Le mariage de Chiffon,Claude Autant-Lara,1942
Lettres d’amour,Claude Autant-Lara,1942
Douce,Claude Autant-Lara,1943
Sylvie et le fantôme,Claude Autant-Lara,1946
Eclipse Series 46: Ingrid Bergman’s Swedish Years, , 
The Count of the Old Town,Sigurd Wallén…,1935
Walpurgis Night,Gustaf Edgren,1935
Intermezzo,Gustaf Molander,1936
Dollar,Gustaf Molander,1938
A Woman’s Face,Gustaf Molander,1938
June Night,Per Lindberg,1940
Kapò,Gillo Pontecorvo,1959
Gervaise,René Clément,1956
Streetwise/Tiny: The Life of Erin Blackwell, , 
Last Holiday,Henry Cass,1950
Anthem,Marlon Riggs,1991
Color Adjustment,Marlon Riggs,1992
Affirmations,Marlon Riggs,1990
"Non, Je Ne Regrette Rien (No Regret)",Marlon Riggs,1993
Black Is . . . Black Ain’t,Marlon Riggs,1995
Ethnic Notions,Marlon Riggs,1986
Tongues Untied,Marlon Riggs,1989
Mayerling,Anatole Litvak,1936
Laura,Otto Preminger,1944
Fallen Angel,Otto Preminger,1945
Daisy Kenyon,Otto Preminger,1947
Forever Amber,Otto Preminger,1947
Whirlpool,Otto Preminger,1949
Where the Sidewalk Ends,Otto Preminger,1950
The 13th Letter,Otto Preminger,1951
Angel Face,Otto Preminger,1953
The Moon is Blue,Otto Preminger,1953
Carmen Jones,Otto Preminger,1954
River of No Return,Otto Preminger,1954
The Man with the Golden Arm,Otto Preminger,1955
Saint Joan,Otto Preminger,1957
Porgy and Bess,Otto Preminger,1959
Exodus,Otto Preminger,1960
Advise and Consent,Otto Preminger,1962
The Cardinal,Otto Preminger,1963
Bunny Lake is Missing,Otto Preminger,1965
In Harm's Way,Otto Preminger,1965
Hurry Sundown,Otto Preminger,1967
Skidoo,Otto Preminger,1968
Such Good Friends,Otto Preminger,1971
The Human Factor,Otto Preminger,1979
