title,director,year,originalTitle
Madadayo,Akira Kurosawa,1993,
Essential Art House: 50 Years of Janus Films, , ,
Three Documentaries,Saul J. Turell,1962,
Le jour se lève,Marcel Carné,1939,
Great Adaptations, , ,
Olivier’s Shakespeare, , ,
Eclipse Series 1: Early Bergman, , ,
Torment,Alf Sjöberg,1944,
Crisis,Ingmar Bergman,1946,
Port of Call,Ingmar Bergman,1948,
Thirst,Ingmar Bergman,1949,
To Joy,Ingmar Bergman,1950,
Eclipse Series 2: The Documentaries of Louis Malle, , ,
Vive le Tour,Louis Malle,1962,
"Humain, trop humain",Louis Malle,1973,
Place de la République,Louis Malle,1974,
Phantom India,Louis Malle,1969,
Calcutta,Louis Malle,1969,
God’s Country,Louis Malle,1985,
. . . And the Pursuit of Happiness,Louis Malle,1986,
Eclipse Series 3: Late Ozu, , ,
Early Spring,Yasujirō Ozu,1956,
Tokyo Twilight,Yasujirō Ozu,1957,
Equinox Flower,Yasujirō Ozu,1958,
Late Autumn,Yasujirō Ozu,1960,
The End of Summer,Yasujirō Ozu,1961,
Eclipse Series 4: Raymond Bernard, , ,
Wooden Crosses,Raymond Bernard,1932,
Les misérables,Raymond Bernard,1934,
Eclipse Series 5: The First Films of Samuel Fuller, , ,
I Shot Jesse James,Samuel Fuller,1949,
The Baron of Arizona,Samuel Fuller,1950,
The Steel Helmet,Samuel Fuller,1951,
Eclipse Series 6: Carlos Saura’s Flamenco Trilogy, , ,
Blood Wedding,Carlos Saura,1981,
Carmen,Carlos Saura,1983,
El amor brujo,Carlos Saura,1986,
Eclipse Series 7: Postwar Kurosawa, , ,
No Regrets for Our Youth,Akira Kurosawa,1946,
One Wonderful Sunday,Akira Kurosawa,1947,
Scandal,Akira Kurosawa,1950,
The Idiot,Akira Kurosawa,1951,
I Live in Fear,Akira Kurosawa,1955,
Eclipse Series 8: Lubitsch Musicals, , ,
The Love Parade,Ernst Lubitsch,1929,
Monte Carlo,Ernst Lubitsch,1930,
The Smiling Lieutenant,Ernst Lubitsch,1931,
One Hour with You,Ernst Lubitsch,1932,
Eclipse Series 9: The Delirious Fictions of William Klein, , ,
"Who Are You, Polly Maggoo?",William Klein,1966,
Mr. Freedom,William Klein,1969,
The Model Couple,William Klein,1977,
Eclipse Series 10: Silent Ozu—Three Family Comedies, , ,
Tokyo Chorus,Yasujirō Ozu,1931,
"I Was Born, But . . .",Yasujirō Ozu,1932,
Passing Fancy,Yasujirō Ozu,1933,
Eclipse Series 11: Larisa Shepitko, , ,
Wings,Larisa Shepitko,1966,
Eclipse Series 12: Aki Kaurismäki’s Proletariat Trilogy, , ,
Shadows in Paradise,Aki Kaurismäki,1986,
Ariel,Aki Kaurismäki,1988,
The Match Factory Girl,Aki Kaurismäki,1990,
Eclipse Series 13: Kenji Mizoguchi’s Fallen Women, , ,
Osaka Elegy,Kenji Mizoguchi,1936,
Sisters of the Gion,Kenji Mizoguchi,1936,
Women of the Night,Kenji Mizoguchi,1948,
Street of Shame,Kenji Mizoguchi,1956,
Eclipse Series 14: Rossellini’s History Films—Renaissance and Enlightenment, , ,
The Age of the Medici,Roberto Rossellini,1973,
Cartesius,Roberto Rossellini,1974,
Blaise Pascal,Roberto Rossellini,1972,
Eclipse Series 15: Travels with Hiroshi Shimizu, , ,
Japanese Girls at the Harbor,Hiroshi Shimizu,1933,
Mr. Thank You,Hiroshi Shimizu,1936,
The Masseurs and a Woman,Hiroshi Shimizu,1938,
Ornamental Hairpin,Hiroshi Shimizu,1941,
Eclipse Series 16: Alexander Korda’s Private Lives, , ,
The Private Life of Henry VIII,Alexander Korda,1933,
The Rise of Catherine the Great,Paul Czinner,1934,
The Private Life of Don Juan,Alexander Korda,1934,
Rembrandt,Alexander Korda,1936,
Eclipse Series 17: Nikkatsu Noir, , ,
I Am Waiting,Koreyoshi Kurahara,1957,
Rusty Knife,Toshio Masuda,1958,
Take Aim at the Police Van,Seijun Suzuki,1960,
Cruel Gun Story,Takumi Furukawa,1964,
A Colt Is My Passport,Takashi Nomura,1967,
Eclipse Series 18: Dušan Makavejev—Free Radical, , ,
Man Is Not a Bird,Dušan Makavejev,1965,
"Love Affair, or the Case of the Missing Switchboard Operator",Dušan Makavejev,1967,
Innocence Unprotected,Dušan Makavejev,1968,
Eclipse Series 19: Chantal Akerman in the Seventies, , ,
La chambre,Chantal Akerman,1972,
Hotel Monterey,Chantal Akerman,1972,
News from Home,Chantal Akerman,1976,
Je tu il elle,Chantal Akerman,1975,
Les rendez-vous d’Anna,Chantal Akerman,1978,
Eclipse Series 20: George Bernard Shaw on Film, , ,
Major Barbara,Gabriel Pascal,1941,
Caesar and Cleopatra,Gabriel Pascal,1945,
Androcles and the Lion, Chester Erskine,1952,
Eclipse Series 21: Oshima’s Outlaw Sixties, , ,
Pleasures of the Flesh,Nagisa Oshima,1965,
Violence at Noon,Nagisa Oshima,1966,
Sing a Song of Sex,Nagisa Oshima,1967,
Japanese Summer: Double Suicide,Nagisa Oshima,1967,
Three Resurrected Drunkards,Nagisa Oshima,1968,
Eclipse Series 22: Presenting Sacha Guitry, , ,
The Story of a Cheat,Sacha Guitry,1936,
The Pearls of the Crown,Sacha Guitry,1937,
Désiré,Sacha Guitry,1937,
Quadrille,Sacha Guitry,1938,
Eclipse Series 23: The First Films of Akira Kurosawa, , ,
Sanshiro Sugata,Akira Kurosawa,1943,
The Most Beautiful,Akira Kurosawa,1944,
"Sanshiro Sugata, Part Two",Akira Kurosawa,1945,
The Men Who Tread on the Tiger’s Tail,Akira Kurosawa,1945,
Eclipse Series 24: The Actuality Dramas of Allan King, , ,
Warrendale,Allan King,1967,
A Married Couple,Allan King,1969,
Come On Children,Allan King,1972,
Dying at Grace,Allan King,2003,
"Memory for Max, Claire, Ida and Company",Allan King,2005,
Eclipse Series 25: Basil Dearden’s London Underground, , ,
Sapphire,Basil Dearden,1959,
The League of Gentlemen,Basil Dearden,1960,
Victim,Basil Dearden,1961,
All Night Long,Basil Dearden,1962,
Eclipse Series 26: Silent Naruse, , ,
"Flunky, Work Hard",Mikio Naruse,1931,
No Blood Relation,Mikio Naruse,1932,
Apart from You,Mikio Naruse,1933,
Every-Night Dreams,Mikio Naruse,1933,
Street Without End,Mikio Naruse,1934,
Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas, , ,
Chains,Raffaello Matarazzo,1949,
Tormento,Raffaello Matarazzo,1950,
Nobody’s Children,Raffaello Matarazzo,1952,
The White Angel,Raffaello Matarazzo,1955,
Eclipse Series 28: The Warped World of Koreyoshi Kurahara, , ,
Intimidation,Koreyoshi Kurahara,1960,
The Warped Ones,Koreyoshi Kurahara,1960,
I Hate But Love,Koreyoshi Kurahara,1962,
Black Sun,Koreyoshi Kurahara,1964,
Thirst for Love,Koreyoshi Kurahara,1967,
Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys, , ,
Leningrad Cowboys Go America,Aki Kaurismäki,1989,
Leningrad Cowboys Meet Moses,Aki Kaurismäki,1994,
Total Balalaika Show,Aki Kaurismäki,1994,
Eclipse Series 30: Sabu!, , ,
Elephant Boy,Robert Flaherty…,1937,
The Drum,Zoltán Korda,1938,
Jungle Book,Zoltán Korda,1942,
Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin, , ,
Poto and Cabengo,Jean-Pierre Gorin,1980,
Routine Pleasures,Jean-Pierre Gorin,1986,
My Crasy Life,Jean-Pierre Gorin,1992,
Eclipse Series 32: Pearls of the Czech New Wave, , ,
Pearls of the Deep,Jiří Menzel…,1966,
Daisies,Věra Chytilová,1966,
A Report on the Party and Guests,Jan Němec,1966,
Return of the Prodigal Son,Evald Schorm,1967,
Capricious Summer,Jiří Menzel,1968,
The Joke,Jaromil Jireš,1969,
Eclipse Series 33: Up All Night with Robert Downey Sr., , ,
Babo 73,Robert Downey Sr.,1964,
Chafed Elbows,Robert Downey Sr.,1966,
No More Excuses,Robert Downey Sr.,1968,
Putney Swope,Robert Downey Sr.,1969,
Two Tons of Turquoise to Taos Tonight,Robert Downey Sr.,1975,
Eclipse Series 34: Jean Grémillon During the Occupation, , ,
Remorques,Jean Grémillon,1941,
Lumière d’été,Jean Grémillon,1943,
Le ciel est à vous,Jean Grémillon,1944,
Eclipse Series 35: Maidstone and Other Films by Norman Mailer, , ,
Maidstone,Norman Mailer,1970,
Wild 90,Norman Mailer,1968,
Beyond the Law,Norman Mailer,1968,
Eclipse Series 36: Three Wicked Melodramas from Gainsborough Pictures, , ,
The Man in Grey,Leslie Arliss,1943,
Madonna of the Seven Moons,Arthur Crabtree,1945,
The Wicked Lady,Leslie Arliss,1945,
Eclipse Series 37: When Horror Came to Shochiku, , ,
The X from Outer Space,Kazui Nihonmatsu,1967,
"Goke, Body Snatcher from Hell",Hajime Sato,1968,
The Living Skeleton,Hiroshi Matsuno,1968,
Genocide,Kazui Nihonmatsu,1968,
Eclipse Series 38: Masaki Kobayashi Against the System, , ,
The Thick-Walled Room,Masaki Kobayashi,1956,
I Will Buy You,Masaki Kobayashi,1956,
Black River,Masaki Kobayashi,1956,
The Inheritance,Masaki Kobayashi,1962,
Eclipse Series 39: Early Fassbinder, , ,
Love Is Colder Than Death,Rainer Werner Fassbinder,1969,
Katzelmacher,Rainer Werner Fassbinder,1969,
Gods of the Plague,Rainer Werner Fassbinder,1969,
The American Soldier,Rainer Werner Fassbinder,1970,
Beware of a Holy Whore,Rainer Werner Fassbinder,1970,
Eclipse Series 40: Late Ray, , ,
The Home and the World,Satyajit Ray,1984,
An Enemy of the People,Satyajit Ray,1989,
The Stranger,Satyajit Ray,1991,
Eclipse Series 41: Kinoshita and World War II, , ,
Port of Flowers,Keisuke Kinoshita,1943,
The Living Magoroku,Keisuke Kinoshita,1943,
Jubilation Street,Keisuke Kinoshita,1944,
Army,Keisuke Kinoshita,1944,
Morning for the Osone Family,Keisuke Kinoshita,1946,
Eclipse Series 42: Silent Ozu—Three Crime Dramas, , ,
Walk Cheerfully,Yasujirō Ozu,1930,
That Night’s Wife,Yasujirō Ozu,1930,
Dragnet Girl,Yasujirō Ozu,1933,
Eclipse Series 43: Agnès Varda in California, , ,
Uncle Yanco,Agnès Varda,1968,
Black Panthers,Agnès Varda,1970,
Lions Love (. . . and Lies),Agnès Varda,1969,
Mur Murs,Agnès Varda,1981,
Documenteur,Agnès Varda,1981,
Eclipse Series 44: Julien Duvivier in the Thirties, , ,
David Golder,Julien Duvivier,1930,
Poil de carotte,Julien Duvivier,1932,
La tête d’un homme,Julien Duvivier,1933,
Un carnet de bal,Julien Duvivier,1937,
Eclipse Series 45: Claude Autant-Lara—Four Romantic Escapes from Occupied France, , ,
Le mariage de Chiffon,Claude Autant-Lara,1942,
Lettres d’amour,Claude Autant-Lara,1942,
Douce,Claude Autant-Lara,1943,
Sylvie et le fantôme,Claude Autant-Lara,1946,
Eclipse Series 46: Ingrid Bergman’s Swedish Years, , ,
The Count of the Old Town,Sigurd Wallén…,1935,
Walpurgis Night,Gustaf Edgren,1935,
Intermezzo,Gustaf Molander,1936,
Dollar,Gustaf Molander,1938,
A Woman’s Face,Gustaf Molander,1938,
June Night,Per Lindberg,1940,
Kapò,Gillo Pontecorvo,1959,
Gervaise,René Clément,1956,
Streetwise/Tiny: The Life of Erin Blackwell, , ,
Last Holiday,Henry Cass,1950,
Anthem,Marlon Riggs,1991,
Color Adjustment,Marlon Riggs,1992,
Affirmations,Marlon Riggs,1990,
"Non, Je Ne Regrette Rien (No Regret)",Marlon Riggs,1993,
Black Is . . . Black Ain’t,Marlon Riggs,1995,
Ethnic Notions,Marlon Riggs,1986,
Tongues Untied,Marlon Riggs,1989,
Mayerling,Anatole Litvak,1936,
Men and Dust,Lee Dick,1940,
Our Town,Sam Wood,1940,
The Grapes of Wrath,John Ford,1940,
The Long Voyage Home,John Ford,1940,
The Way of All Flesh,Louis King,1940,
The Return of Frank James,Fritz Lang,1940,
Northwest Passage (Book I-Rogers' Rangers),King Vidor,1940,
Brother Orchid,Lloyd Bacon,1940,
All American Knute Rockne,Lloyd Bacon,1940,
The Bank Dick,Eddie Cline,1940,
My Little Chickadee,Eddie Cline,1940,
The Blue Bird,Walter Lang,1940,
Tin Pan Alley,Walter Lang,1940,
They Drive by Night,Raoul Walsh,1940,
The Philadelphia Story,George Cukor,1940,
His Girl Friday,Howard Hawks,1940,
My Favorite Wife,Garson Kanin,1940,
Escape,Mervyn LeRoy,1940,
Waterloo Bridge,Mervyn LeRoy,1940,
The Mortal Storm,Frank Borzage,1940,
Strange Cargo,Frank Borzage,1940,
The Stranger on the Third Floor,Boris Ingster,1940,
Broadway Melody of 1940,Norman Taurog,1940,
The Letter,William Wyler,1940,
The Westerner,William Wyler,1940,
Dance,Dorothy Arzner,1940,
Strike Up the Band,Busby Berkeley,1940,
Go West,Edward Buzzell,1940,
Santa Fe Trail,Michael Curtiz,1940,
The Sea Hawk,Michael Curtiz,1940,
Virginia City,Michael Curtiz,1940,
Saps At Sea,Gordon Douglas,1940,
Johnny Apollo,Henry Hathaway,1940,
and Heaven Too All This,Anatole Litvak,1940,
City for Conquest,Anatole Litvak,1940,
The Shop Around the Corner,Ernst Lubitsch,1940,
The Notorious Elinor Lee,Oscar Micheaux,1940,
Melody Ranch,Joseph Santley,1940,
The Mummy's Hand,Christy Cabanne,1940,
The Great Dictator,Charles Chaplin,1940,
Down Argentine Way,Irving Cummings,1940,
Primrose Path,Gregory La Cava,1940,
My Love Arise,Mitchell Leisen,1940,
Remember the Night,Mitchell Leisen,1940,
The Ghost Breakers,George Marshall,1940,
Christmas in July,Preston Sturges,1940,
The Great McGinty,Preston Sturges,1940,
North West Mounted Police,Cecil B. DeMille,1940,
Dr. Ehrlich's Magic Bullet,William Dieterle,1940,
Foreign Correspondent,Alfred Hitchcock,1940,
Rebecca,Alfred Hitchcock,1940,
The Mark of Zorro,Rouben Mamoulian,1940,
Pride and Prejudice,Robert Z. Leonard,1940,
A Chump at Oxford,Alfred J. Goulding,1940,
Rhythm on the River,Victor Schertzinger,1940,
Road to Singapore,Victor Schertzinger,1940,
Dr. Cyclops,Ernest B. Schoedsack,1940,
The Devil and Miss Jones,Sam Wood,1941,
How Green Was My Valley,John Ford,1941,
Tobacco Road,John Ford,1941,
Chef Donald,Jack King,1941,
Man Hunt,Fritz Lang,1941,
Western Union,Fritz Lang,1941,
Esq. H.M. Pulham,King Vidor,1941,
Meet John Doe,Frank Capra,1941,
Never Give a Sucker an Even Break,Eddie Cline,1941,
Love Crazy,Jack Conway,1941,
The Maltese Falcon,John Huston,1941,
Moon Over Miami,Walter Lang,1941,
Hellzapoppin',H.C. Potter,1941,
Swamp Water,Jean Renoir,1941,
High Sierra,Raoul Walsh,1941,
Manpower,Raoul Walsh,1941,
The Strawberry Blonde,Raoul Walsh,1941,
They Died with Their Boots On,Raoul Walsh,1941,
Two-Faced Woman,George Cukor,1941,
A Woman's Face,George Cukor,1941,
Topper Returns,Roy Del Ruth,1941,
Ball of Fire,Howard Hawks,1941,
Sergeant York,Howard Hawks,1941,
Johnny Eager,Mervyn LeRoy,1941,
Buck Privates,Arthur Lubin,1941,
Hold That Ghost,Arthur Lubin,1941,
Citizen Kane,Orson Welles,1941,
The Face Behind the Mask,Robert Florey,1941,
One Foot in Heaven,Irving Rapper,1941,
Rage in Heaven,W.S. Van Dyke,1941,
Ladies in Retirement,Charles Vidor,1941,
N.C. Kannapolis,H. Lee Waters,1941,
The Little Foxes,William Wyler,1941,
The Sea Wolf,Michael Curtiz,1941,
Hoppity Goes to Town/Mr. Bug Goes to Town,Dave Fleischer,1941,
Superman,Dave Fleischer,1941,
Dr. Jekyll and Mr. Hyde,Victor Fleming,1941,
Here Comes Mr. Jordan,Alexander Hall,1941,
Shepherd of the Hills,Henry Hathaway,1941,
Among the Living,Stuart Heisler,1941,
Blues in the Night,Anatole Litvak,1941,
Out of the Fog,Anatole Litvak,1941,
That Uncertain Feeling,Ernst Lubitsch,1941,
Dumbo,Ben Sharpsteen,1941,
Penny Serenade,George Stevens,1941,
Tarzan's Secret Treasure,Richard Thorpe,1941,
The Wolf Man,George Waggner,1941,
King of the Zombies,Jean Yarbrough,1941,
Wabbit Twouble,Robert Clampett,1941,
That Night in Rio,Irving Cummings,1941,
The Great Lie,Edmund Goulding,1941,
Unfinished Business,Gregory La Cava,1941,
Hold Back the Dawn,Mitchell Leisen,1941,
The Big Store,Charles Reisner,1941,
All Through the Night,Vincent Sherman,1941,
The Lady Eve,Preston Sturges,1941,
Sullivan's Travels,Preston Sturges,1941,
The Devil and Daniel Webster,William Dieterle,1941,
American March,Oskar Fischinger,1941,
Suspicion,Alfred Hitchcock,1941,
The Man Who Came to Dinner,William Keighley,1941,
Blood and Sand,Rouben Mamoulian,1941,
Back Street,Robert Stevenson,1941,
The Blood of Jesus,Spencer Williams,1941,
Ziegfeld Girl,Robert Z. Leonard,1941,
Road to Zanzibar,Victor Schertzinger,1941,
The Shanghai Gesture,Josef von Sternberg,1941,
I Wake Up Screaming,H. Bruce Humberstone,1941,
Sun Valley Serenade,H. Bruce Humberstone,1941,
Kings Row,Sam Wood,1942,
The Pride of the Yankees,Sam Wood,1942,
Blitz Wolf,Tex Avery,1942,
The Battle of Midway,John Ford,1942,
I Married a Witch,RenÈ Clair,1942,
Bambi,David Hand,1942,
The Black Swan,Henry King,1942,
Tulips Shall Grow,George Pal,1942,
The Man with Two Lives,Phil Rosen,1942,
Jam Session,Josef Berne,1942,
Crossroads,Jack Conway,1942,
Wake Island,John Farrow,1942,
Street of Chance,Jack Hively,1942,
Across the Pacific,John Huston,1942,
Der Fuehrer's Face,Jack Kinney,1942,
Moontide,Archie Mayo,1942,
Once Upon a Honeymoon,Leo McCarey,1942,
Gentleman Jim,Raoul Walsh,1942,
Road to Morocco,David Butler,1942,
Jungle Book,Zoltan Korda,1942,
Random Harvest,Mervyn LeRoy,1942,
The Moon and Sixpence,Albert Lewin,1942,
The Big Shot,Lewis Seiler,1942,
This Gun for Hire,Frank Tuttle,1942,
The Magnificent Ambersons,Orson Welles,1942,
The Major and the Minor,Billy Wilder,1942,
Seven Sweethearts,Frank Borzage,1942,
Son of Fury,John Cromwell,1942,
Voyager Now,Irving Rapper,1942,
Holiday Inn,Mark Sandrich,1942,
Mrs. Miniver,William Wyler,1942,
For Me and My Gal,Busby Berkeley,1942,
Casablanca,Michael Curtiz,1942,
Yankee Doodle Dandy,Michael Curtiz,1942,
Tortilla Flat,Victor Fleming,1942,
The Glass Key,Stuart Heisler,1942,
To Be or Not to Be,Ernst Lubitsch,1942,
The Talk of the Town,George Stevens,1942,
Woman of the Year,George Stevens,1942,
Tarzan's New York Adventure,Richard Thorpe,1942,
White Cargo,Richard Thorpe,1942,
Springtime in the Rockies,Irving Cummings,1942,
Tales of Manhattan,Julien Duvivier,1942,
The Land,Robert Flaherty,1942,
My Favorite Blonde,Sidney Lanfield,1942,
Star Spangled Rhythm,George Marshall,1942,
The Palm Beach Story,Preston Sturges,1942,
Roxie Hart,William Wellman,1942,
Reap the Wild Wind,Cecil B. DeMille,1942,
Saboteur,Alfred Hitchcock,1942,
Cat People,Jacques Tourneur,1942,
You Were Never Lovelier,William A. Seiter,1942,
For Whom the Bell Tolls,Sam Wood,1943,
Dumb-Hounded,Tex Avery,1943,
Red Hot Riding Hood,Tex Avery,1943,
Who Killed Who?,Tex Avery,1943,
Tonight We Raid Calais,John Brahm,1943,
The Song of Bernadette,Henry King,1943,
Hangmen Also Die,Fritz Lang,1943,
Bataan,Tay Garnett,1943,
King of the Cowboys,Joseph Kane,1943,
This Land is Mine,Jean Renoir,1943,
The Ghost Ship,Mark Robson,1943,
The Seventh Victim,Mark Robson,1943,
Thank Your Lucky Stars,David Butler,1943,
Destination Tokyo,Delmer Daves,1943,
Air Force,Howard Hawks,1943,
Sahara,Zoltan Korda,1943,
Madame Curie,Mervyn LeRoy,1943,
Phantom of the Opera,Arthur Lubin,1943,
White Savage,Arthur Lubin,1943,
Guadalcanal Diary,Lewis Seiler,1943,
Five Graves to Cairo,Billy Wilder,1943,
His Butler's Sister,Frank Borzage,1943,
Stage Door Canteen,Frank Borzage,1943,
Journey Into Fear,Norman Foster,1943,
The Outlaw,Howard Hughes,1943,
So Proudly We Hail!,Mark Sandrich,1943,
Holy Matrimony,John M. Stahl,1943,
The Immortal Sergeant,John M. Stahl,1943,
First Comes Courage,Dorothy Arzner,1943,
The Gang's All Here,Busby Berkeley,1943,
The Human Comedy,Clarence Brown,1943,
A Guy Named Joe,Victor Fleming,1943,
Heaven Can Wait,Ernst Lubitsch,1943,
Watch on the Rhine,Herman Shumlin,1943,
Son of Dracula,Robert Siodmak,1943,
The More the Merrier,George Stevens,1943,
Cry Havoc,Richard Thorpe,1943,
Lassie Come Home,Fred M. Wilcox,1943,
Coal Black and de Sebben Dwarfs,Robert Clampett,1943,
Tin Pan Alley Cats,Robert Clampett,1943,
The Constant Nymph,Edmund Goulding,1943,
Edge of Darkness,Lewis Milestone,1943,
The Hard Way,Vincent Sherman,1943,
Hi Diddle Diddle,Andrew L. Stone,1943,
Stormy Weather,Andrew L. Stone,1943,
The Fallen Sparrow,Richard Wallace,1943,
The Ox-Bow Incident,William Wellman,1943,
Shadow of a Doubt,Alfred Hitchcock,1943,
I Walked with a Zombie,Jacques Tourneur,1943,
The Leopard Man,Jacques Tourneur,1943,
Whispering Footsteps,Howard Bretherton,1943,
Cabin in the Sky,Vincente Minnelli,1943,
Frankenstein Meets the Wolf Man,Roy William Neill,1943,
Screwball Squirrel,Tex Avery,1944,
Jammin' the Blues,Gjon Mili,1944,
Guest in the House,John Brahm,1944,
The Lodger,John Brahm,1944,
It Happened Tomorrow,RenÈ Clair,1944,
At Land,Maya Deren,1944,
Wilson,Henry King,1944,
Ministry of Fear,Fritz Lang,1944,
The Woman in the Window,Fritz Lang,1944,
An American Romance,King Vidor,1944,
The Uninvited,Lewis Allen,1944,
Arsenic and Old Lace,Frank Capra,1944,
Going My Way,Leo McCarey,1944,
Gaslight,George Cukor,1944,
The Canterville Ghost,Jules Dassin,1944,
To Have and Have Not,Howard Hawks,1944,
Thirty Seconds Over Tokyo,Mervyn LeRoy,1944,
Strangers in the Night,Anthony Mann,1944,
Lady in the Death House,Steve Sekely,1944,
Summer Storm,Douglas Sirk,1944,
Double Indemnity,Billy Wilder,1944,
Since You Went Away,John Cromwell,1944,
Dark Waters,AndrÈ de Toth,1944,
None Shall Escape,AndrÈ de Toth,1944,
Action in Arabia,LÈonide Moguy,1944,
Voice in the Wind,Arthur Ripley,1944,
Bathing Beauty,George Sidney,1944,
The Keys of the Kingdom,John M. Stahl,1944,
Cover Girl,Charles Vidor,1944,
The Memphis Belle,William Wyler,1944,
National Velvet,Clarence Brown,1944,
The White Cliffs of Dover,Clarence Brown,1944,
The Mark of the Whistler,William Castle,1944,
When Strangers Marry,William Castle,1944,
The Whistler,William Castle,1944,
Passage to Marseille,Michael Curtiz,1944,
My Sweet Murder,Edward Dmytryk,1944,
The Negro Soldier,Stuart Heisler,1944,
Show Business,Edwin L. Marin,1944,
Tall in the Saddle,Edwin L. Marin,1944,
The Mask of Dimitrios,Jean Negulesco,1944,
Laura,Otto Preminger,1944,
Christmas Holiday,Robert Siodmak,1944,
Cobra Woman,Robert Siodmak,1944,
Phantom Lady,Robert Siodmak,1944,
The Suspect,Robert Siodmak,1944,
Bluebeard,Edgar G. Ulmer,1944,
Frenchman's Creek,Mitchell Leisen,1944,
Lady in the Dark,Mitchell Leisen,1944,
Lost in a Harem,Charles Reisner,1944,
Mr. Skeffington,Vincent Sherman,1944,
Hail the Conquering Hero,Preston Sturges,1944,
The Miracle of Morgan's Creek,Preston Sturges,1944,
Buffalo Bill,William Wellman,1944,
The Story of Dr. Wassell,Cecil B. DeMille,1944,
Toscanini,Alexander Hammid,1944,
Lifeboat,Alfred Hitchcock,1944,
Destiny,Reginald Le Borg,1944,
Jane Eyre,Robert Stevenson,1944,
Days of Glory,Jacques Tourneur,1944,
Experiment Perilous,Jacques Tourneur,1944,
Meet Me in St. Louis,Vincente Minnelli,1944,
Pin Up Girl,H. Bruce Humberstone,1944,
Follow the Boys,A. Edward Sutherland,1944,
Saratoga Trunk,Sam Wood,1945,
They Were Expendable,John Ford,1945,
Hangover Square,John Brahm,1945,
And Then There Were None,RenÈ Clair,1945,
A Study in Choreography for Camera,Maya Deren,1945,
Brewster's Millions,Allan Dwan,1945,
A Tree Grows in Brooklyn,Elia Kazan,1945,
Scarlet Street,Fritz Lang,1945,
Hitler Lives,Don Siegel,1945,
Road to Utopia,Hal Walker,1945,
The Unseen,Lewis Allen,1945,
Die Todesmuhlen,Hans Burger,1945,
The Battle of San Pietro,John Huston,1945,
Tiger Trouble,Jack Kinney,1945,
The Power of the Whistler,Lew Landers,1945,
State Fair,Walter Lang,1945,
Circumstantial Evidence,John Larkin,1945,
The Bells of St. Mary's,Leo McCarey,1945,
Dillinger,Max Nosseck,1945,
Bewitched,Arch Oboler,1945,
Diary of a Chambermaid,Jean Renoir,1945,
The Southerner,Jean Renoir,1945,
Isle of the Dead,Mark Robson,1945,
The Horn Blows at Midnight,Raoul Walsh,1945,
Burma! Objective,Raoul Walsh,1945,
Salty O'Rourke,Raoul Walsh,1945,
The Body Snatcher,Robert Wise,1945,
Pride of the Marines,Delmer Daves,1945,
The House I Live In,Mervyn LeRoy,1945,
The Picture of Dorian Gray,Albert Lewin,1945,
The Great Flamarion,Anthony Mann,1945,
Two O'Clock Courage,Anthony Mann,1945,
Tarzan and the Amazons,Kurt Neumann,1945,
Apology for Murder,Sam Newfield,1945,
The Lady Confesses,Sam Newfield,1945,
Topaz,Dave Tatsuno,1945,
The Lost Weekend,Billy Wilder,1945,
The Enchanted Cottage,John Cromwell,1945,
Lady on a Train,Charles David,1945,
Danger Signal,Robert Florey,1945,
Christmas in Connecticut,Peter Godfrey,1945,
It's in the Bag,Herbert Mason,1945,
Anchors Aweigh,George Sidney,1945,
Leave Her to Heaven,John M. Stahl,1945,
Voice of the Whistler,William Castle,1945,
Mildred Pierce,Michael Curtiz,1945,
Cornered,Edward Dmytryk,1945,
The House on 92nd Street,Henry Hathaway,1945,
House of Dracula,Erle C. Kenton,1945,
Where She Danced Salome,Charles Lamont,1945,
Jealousy,Gustav Machat˝,1945,
Johnny Angel,Edwin L. Marin,1945,
Fallen Angel,Otto Preminger,1945,
The Spiral Staircase,Robert Siodmak,1945,
The Strange Affair of Uncle Harry,Robert Siodmak,1945,
Detour,Edgar G. Ulmer,1945,
Strange Illusion,Edgar G. Ulmer,1945,
The Spider,Robert D. Webb,1945,
The Naughty Nineties,Jean Yarbrough,1945,
Escape in the Fog,Budd Boetticher,1945,
The Dolly Sisters,Irving Cummings,1945,
The Three Caballeros,Norman Ferguson,1945,
My Name is Julia Ross,Joseph H. Lewis,1945,
A Walk in the Sun,Lewis Milestone,1945,
The Story of G.I. Joe,William Wellman,1945,
Mom and Dad,William Beaudine,1945,
Conflict,Curtis Bernhardt,1945,
Spellbound,Alfred Hitchcock,1945,
The Clock,Vincente Minnelli,1945,
Yolanda and the Thief,Vincente Minnelli,1945,
Ziegfeld Follies,Vincente Minnelli,1945,
Wonder Man,H. Bruce Humberstone,1945,
Lonesome Lenny,Tex Avery,1946,
My Darling Clementine,John Ford,1946,
Specter of the Rose,Ben Hecht,1946,
From This Day Forward,John Berry,1946,
The Locket,John Brahm,1946,
Ritual in Transfigured Time,Maya Deren,1946,
Rendezvous with Annie,Allan Dwan,1946,
Margie,Henry King,1946,
Cloak and Dagger,Fritz Lang,1946,
John Henry and the Inky-Poo,George Pal,1946,
The Verdict,Don Siegel,1946,
Duel in the Sun,King Vidor,1946,
Behind Green Lights,Otto Brower,1946,
It's a Wonderful Life,Frank Capra,1946,
